id,count
0,91.35
1,215.72
2,91.73
4,28.91
5,65.35
10,122.11
11,175.15
12,313.55
15,37.56
17,120.73
18,308.95
23,246.49
25,95.93
26,38.36
31,211.19
39,154.72
40,26.5
41,188.5
42,372.6
43,148.68
51,229.47
52,82.2
54,16.71
60,144.25
61,140.35
62,118.67
63,30.27
65,116.01
66,106.79
68,152.24
71,78.65
80,30.41
82,60.72
94,127.3
98,277.34
101,31.44
102,133.38
107,124.86
112,238.16
113,66.15
115,63.89
116,122.73
120,164.46
121,81.03
122,334.17
132,188.04
143,86.01
147,58.87
150,19.43
151,87.65
152,231.38
153,90.82
155,165.75
156,85.59
159,186.83
161,135.56
163,45.69
177,178.48
186,15.33
188,18.77
190,83.49
191,80.5
192,269.59
195,314.51
200,134.62
209,319.65
210,15.62
211,237.13
214,115.59
215,27.68
218,99.44
219,32.92
222,122.53
225,15.15
228,324.07
236,210.37
241,37.59
242,172.16
243,232.26
245,18.9
247,248.9
251,133.43
252,85.32
253,83.68
254,86.47
258,330.79
260,45.59
261,175.59
265,113.67
266,282.07
267,294.41
269,153.41
270,64.06
275,100.1
278,36.55
279,82.43
286,89.22
287,29.28
288,228.97
289,132.19
293,17.08
294,147.56
297,31.62
302,122.05
303,58.89
304,68.7
307,98.59
309,16.87
311,169.0
312,119.57
314,188.53
315,240.86
319,160.21
322,121.29
323,62.88
325,123.81
327,239.92
330,34.94
332,195.5
333,16.55
338,101.99
341,107.69
345,198.05
348,128.07
349,45.19
350,115.96
352,55.73
355,16.17
356,223.68
358,62.58
363,134.18
369,157.78
371,19.36
372,138.41
375,304.29
380,135.17
388,45.18
391,142.23
392,239.25
393,371.72
394,196.84
396,28.52
401,37.28
407,104.86
409,89.36
410,115.53
416,101.2
418,122.94
420,151.42
421,222.27
422,129.21
424,292.06
428,332.77
429,217.91
431,161.24
435,11.64
439,112.58
441,12.83
447,92.17
449,136.01
451,132.58
452,16.54
454,212.25
458,214.34
463,123.93
467,15.01
470,239.47
471,162.9
474,289.1
478,16.96
483,127.12
484,124.24
485,87.39
486,126.66
491,96.24
494,96.44
495,230.7
497,210.07
499,170.88
515,114.02
518,213.29
521,178.13
525,160.28
529,227.26
532,145.64
534,109.1
540,111.99
544,297.18
547,162.03
549,46.28
563,34.36
564,134.61
567,124.06
572,115.74
577,130.44
578,268.1
585,349.89
588,139.18
589,117.29
590,109.67
592,17.54
594,232.16
596,14.65
598,341.99
599,146.77
605,36.35
606,132.83
607,250.86
608,230.72
609,62.88
610,282.53
611,175.77
614,136.03
615,217.24
616,250.63
617,124.02
618,251.14
624,120.71
629,134.92
631,95.32
633,86.87
637,24.27
638,105.17
643,70.38
644,129.65
645,35.77
646,208.59
648,187.25
650,39.3
651,202.93
652,265.48
656,98.29
657,18.57
659,75.82
660,211.87
662,100.83
665,366.33
675,324.64
681,151.34
682,186.29
685,19.71
686,211.42
689,25.37
696,141.17
703,144.43
704,98.95
705,118.02
714,230.55
717,97.08
718,14.69
720,90.7
721,264.74
723,228.68
726,188.68
728,141.3
730,203.73
731,27.97
734,345.8
737,72.57
738,17.2
745,167.88
746,27.77
749,232.77
752,26.51
753,173.8
758,240.75
765,17.4
766,231.31
768,87.17
769,200.27
774,136.4
775,108.23
781,54.39
784,334.92
794,18.29
795,278.86
796,85.49
802,165.85
803,223.98
805,32.66
806,289.73
807,100.38
809,16.2
810,179.58
812,201.61
814,116.34
818,248.82
819,122.41
825,67.82
836,116.15
839,117.86
847,263.04
848,174.74
851,119.44
852,139.35
853,30.25
857,140.27
858,42.44
859,235.59
861,21.9
867,101.33
870,224.04
871,215.33
872,222.87
874,359.7
881,198.26
886,134.56
890,64.14
895,164.79
899,88.95
900,277.27
901,259.36
902,249.34
903,39.57
913,261.91
918,203.85
923,109.95
924,37.48
926,26.52
927,18.15
930,219.71
934,32.52
937,111.59
939,144.04
941,87.71
942,371.89
946,273.97
950,97.52
953,90.42
959,98.2
961,26.8
962,90.7
964,83.25
969,183.98
971,156.06
976,42.02
978,258.98
980,236.07
981,142.39
990,371.17
993,18.39
996,19.4
998,324.57
999,182.31
1006,124.21
1008,15.79
1013,30.33
1015,98.34
1016,117.15
1022,315.66
1026,225.51
1028,227.74
1031,68.29
1034,46.01
1037,202.21
1040,63.07
1042,18.6
1046,17.99
1048,101.08
1049,111.77
1050,58.16
1051,212.18
1052,241.38
1055,191.46
1060,158.06
1064,28.25
1066,74.74
1071,101.72
1073,14.01
1089,200.47
1091,99.55
1092,75.82
1093,231.99
1096,310.76
1097,226.59
1098,16.51
1099,40.95
1102,169.64
1107,100.59
1109,43.38
1111,139.31
1112,113.39
1114,312.45
1116,294.44
1117,119.36
1118,69.71
1122,141.2
1124,168.4
1127,123.55
1133,213.35
1134,35.66
1135,127.46
1139,299.7
1143,52.94
1150,118.91
1151,112.03
1153,263.68
1155,28.06
1162,25.72
1163,196.16
1166,20.47
1171,85.85
1172,15.25
1173,257.37
